name,class
Crypto-Trade.com,service
HelixMixer-old33,mixer
HelixMixer-old19,mixer
BTCLend.org,lending
SecureVPN.to,service
HelixMixer-old29,mixer
HelixMixer-old32,mixer
Dagensia.eu,exchange
AllCoin.com,exchange
HelixMixer-old5,mixer
HelixMixer-old31,mixer
Chainroll.com,gambling
HelixMixer-old25,mixer
HelixMixer-old9,mixer
BitcoinFog,mixer
HelixMixer-old7,mixer
Cryptorush.in,exchange
CoinKite.com,service
Bitcoinica.com,service
HelixMixer-old30,mixer
HelixMixer-old17,mixer
HelixMixer-old24,mixer
HelixMixer-old4,mixer
HelixMixer-old26,mixer
HolyTransaction.com,wallet
Loanbase.com,lending
HelixMixer-old11,mixer
HelixMixer-old2,mixer
CoinURL.com,service
BTCJam.com-old,lending
BTCPop.co,lending
HelixMixer-old20,mixer
CoinJar.com,wallet
Instawallet.org,wallet
HelixMixer-old23,mixer
HelixMixer-old12,mixer
Vic-Socks.to,wallet
HelixMixer-old34,mixer
Bitbond.com,lending
WatchMyBit.com,service
OkLink.com,service
Coin-Swap.net,exchange
Paymium.com,exchange
BTCJam.com,lending
HelixMixer-old14,mixer
HelixMixer-old21,mixer
CoinApult.com,service
UpDown.BT,service
FaucetBOX.com,wallet
HelixMixer-old3,mixer
HelixMixer-old16,mixer
BitElfin.com,gambling
HelixMixer-old13,mixer
HelixMixer-old27,mixer
HelixMixer-old10,mixer
BitNZ.com,exchange
Inputs.io,wallet
HelixMixer,mixer
HelixMixer-old6,mixer
GreenRoadMarket,market
CoinApult.com-old,service
CoinBox.me,service
Xapo.com,wallet
HelixMixer-old22,mixer
MyBitcoin.com,wallet
BitLaunder.com,mixer
HelixMixer-old,mixer
HelixMixer-old15,mixer
Bylls.com,service
ChangeTip.com,service
HelixMixer-old28,mixer
SecureVPN.to-old,service
Cubits.com,exchange
HelixMixer-old8,mixer
HelixMixer-old18,mixer
BitcoinWallet.com,wallet
BTCJam.com-old2,lending
GoCelery.com,wallet
ePay.info,service
StrongCoin.com-fee,wallet
CoinVault,wallet
GermanPlazaMarket,wallet
Purse.io,service
SlushPool.com-old2,pool
Cryptomine.io,pool
BTCGuild.com,pool
Eligius.st,pool
AntPool.com-old2,pool
Polmine.pl,pool
AntPool.com-old,pool
EclipseMC.com-old2,pool
50BTC.com,pool
CryptcoMiner.com,pool
Kano.is-old,pool
EclipseMC.com-old3,pool
AntPool.com,pool
KnCMiner.com,pool
ASICMiner,pool
Telco214,pool
EclipseMC.com,pool
Bitfury.org,pool
DeepBit.net,pool
EclipseMC.com-old,pool
SlushPool.com-old,pool
BitMinter.com,pool
BW.com,exchange
Kano.is,pool
SlushPool.com,pool
BTCCPool,pool
Bitmit.net,market
BabylonMarket,market
MiddleEarthMarketplace,market
SilkRoadMarketplace,market
AbraxasMarket,market
NucleusMarket,market
AlphaBayMarket,market
AlphaBayMarket-old,market
PandoraOpenMarket,market
AgoraMarket,market
BlackBankMarket,market
SilkRoad2Market,market
SheepMarketplace,market
Brawker.com,market
EvolutionMarket,market
BlueSkyMarketplace,market
CannabisRoadMarket,market
GHash.io,market
DoctorDMarket,market
CoinGaming.io,gambling
MineField.BitcoinLab.org,gambling
Coin-Sweeper.com,gambling
LuckyB.it-chatbot,gambling
YABTCL.com,gambling
Betcoin.tm,gambling
PinballCoin.com,gambling
BitZillions.com,gambling
SatoshiRoulette.com,gambling
DiceCoin.io,gambling
SatoshiMines.com,gambling
SuzukiDice.com,gambling
AdmiralCoin.com,gambling
SatoshiDice.com,gambling
Betcoin.ag-old,gambling
SatoshiBet.com,gambling
SafeDice.com,gambling
